# name task arm config — 0224 structure screen, registered order
s6-01-I0185-A-claude I0185 A claude
s6-02-D4-Bp-codex D4 B' codex
s6-03-I0185-C-codex I0185 C codex
s6-04-D4-F-claude D4 F claude
s6-05-I0185-Bp-claude I0185 B' claude
s6-06-D4-A-codex D4 A codex
s6-07-I0185-F-codex I0185 F codex
s6-08-D4-C-claude D4 C claude
s6-09-D4-Bp-claude D4 B' claude
s6-10-I0185-A-codex I0185 A codex
s6-11-D4-F-codex D4 F codex
s6-12-I0185-C-claude I0185 C claude
s6-13-D4-A-claude D4 A claude
s6-14-I0185-Bp-codex I0185 B' codex
s6-15-D4-C-codex D4 C codex
s6-16-I0185-F-claude I0185 F claude
